story_number,episode_title,type,first_aired,uk_viewers,rating_AI,duration,season,ep_num,rating_imdb,rating_n,desc,writer,director,doctor_who_actor,,Showrunner
221,The Girl Who Waited,episode,9/10/2011,7.6,85,45,6,10,8.5,5693,"Amy is trapped in a quarantine facility where time moves faster than in reality, while the Doctor is confined to the TARDIS. Can Rory save his wife in time?",Tom MacRae,Nick Hurran,Matt Smith,,Steven Moffat
222,The God Complex,episode,9/17/2011,6.77,86,50,6,11,8.1,5291,"The Doctor, Amy and Rory become trapped in a hotel of horrors unable to escape and unable to find the TARDIS. The Doctor must save as many people as he can taking many twists and seeing his own worst fear.",Toby Whithouse,Nick Hurran,Matt Smith,,Steven Moffat
223,Closing Time,episode,9/24/2011,6.93,86,45,6,12,7.6,4946,"The Doctor makes one last stop before his death to see an old friend. But people are disappearing, there are reports of a silver rat and metal men are lurking in the shadows.",Gareth Roberts,Steve Hughes,Matt Smith,,Steven Moffat
224,The Wedding of River Song,episode,10/1/2011,7.67,86,45,6,13,8.4,6048,"April 22nd, 2011; 5:02pm. Having finally accepted his fate the Doctor travels to Lake Silencio for his final day. But one woman refuses to let time take its course.",Steven Moffat,Jeremy Webb,Matt Smith,,Steven Moffat
225,"The Doctor, the Widow and the Wardrobe",special,12/25/2011,10.77,84,60,7,0,7.2,5255,"It's Christmas Eve, 1938, when Madge Arwell comes to the aid of an injured Spaceman Angel as she cycles home. He promises to repay her kindness - all she has to do is make a wish. Three years later, a devastated Madge escapes war-torn London with her two children for a dilapidated house in Dorset. She is crippled with grief at the news her husband has been lost over the channel, but determined to give Lily and Cyril the best Christmas ever. The Arwells are surprised to be greeted by a madcap caretaker whose mysterious Christmas gift leads them into a magical wintry ...",Steven Moffat,Farren Blackburn,Matt Smith,,Steven Moffat
226,Asylum of the Daleks,episode,9/1/2012,8.33,89,50,7,1,8.6,6919,"Amy, Rory and the Doctor are reunited when they are kidnapped by the Daleks, who send them on a mission to destroy the most horrifying place in the universe- the asylum of the Daleks.",Steven Moffat,Nick Hurran,Matt Smith,,Steven Moffat
227,Dinosaurs on a Spaceship,episode,9/8/2012,7.57,87,45,7,2,7.3,5726,"The doctor gathers some of his old friends to help him investigate an unmanned spaceship on a crash course to earth that when it collides, will destroy it, they soon discover the ship's precious and dangerous cargo- dinosaurs.",Chris Chibnall,Saul Metzstein,Matt Smith,,Steven Moffat
228,A Town Called Mercy,episode,9/15/2012,8.42,85,45,7,3,7.3,5482,"The Doctor gets a Stetson (and a gun), and finds himself the reluctant Sheriff of a Western town under siege by a relentless cyborg who goes by the name of The Gunslinger. But who is he and what does he want?",Toby Whithouse,Saul Metzstein,Matt Smith,,Steven Moffat
229,The Power of Three,episode,9/22/2012,7.67,87,41,7,4,7.5,5310,"Earth is suddenly visited by millions of small black cubes of unknown origin. The Doctor joins Amy, Rory and Rory's father, Brian, to help discover what these cubes bring for humanity.",Chris Chibnall,Douglas Mackinnon,Matt Smith,,Steven Moffat
230,The Angels Take Manhattan,episode,9/29/2012,7.82,88,45,7,5,9,7591,"After Rory has an encounter with a weeping angel, the doctor and Amy travel to 1930's New York to save him, but they soon discover that the weeping angels have taken over Manhattan, and soon, maybe, the world.",Steven Moffat,Nick Hurran,Matt Smith,,Steven Moffat
231,The Snowmen,special,12/25/2012,9.87,87,60,7,6,8.4,6260,"London, 1892. Snow is evolving, turning into icy monstrosities, but this is no concern for the Doctor who has given up trying to save the universe, leaving it to a clever young governess named Clara to save the day.",Steven Moffat,Saul Metzstein,Matt Smith,,Steven Moffat
232,The Bells of Saint John,episode,3/30/2013,8.44,87,45,7,7,7.9,5410,"The doctor finds Clara in present day, where they work together to solve the mystery of people disappearing which as it turns out, has a sinister link to WiFi.",Steven Moffat,Colm McCarthy,Matt Smith,,Steven Moffat
233,The Rings of Akhaten,episode,4/6/2013,7.45,84,44,7,8,7.3,5851,"The doctor takes Clara to the rings of Akheten, A partly destroyed planet, where a religious ceremony is about to be carried out, but a darkness is stirring, a hungry darkness that could consume the rings of Akhetan and the universe.",Neil Cross,Farren Blackburn,Matt Smith,,Steven Moffat
234,Cold War,episode,4/13/2013,7.37,84,45,7,9,7.1,5001,"The doctor and Clara find themselves on a Russian cold war submarine that is falling to the bottom of the ocean because of an attack by a rogue Martian warrior, that 's still aboard.",Mark Gatiss,Douglas Mackinnon,Matt Smith,,Steven Moffat
235,Hide,episode,4/20/2013,6.61,85,45,7,10,7.6,4962,The Doctor and Clara arrive at a supposedly haunted mansion where they find a ghost hunter and a psychic who are on the search for a legendary ghost known as 'the witch of the well',Neil Cross,Jamie Payne,Matt Smith,,Steven Moffat
236,Journey to the Centre of the TARDIS,episode,4/27/2013,6.5,85,45,7,11,7.4,5012,"After the TARDIS is caught accidentally by an outer space trash collector, Clara is trapped deep inside of it where she finds herself on a journey through the doctor's past and her future.",Stephen Thompson,Mat King,Matt Smith,,Steven Moffat
